symbol,side,sleeve,open_ts,close_ts,pnl,pair,notional,entry_price,exit_price,gross_pnl,cost,duration_bars,exit_reason,sl_price,tp_price,signal_info,round_kind,round_start,direction,leverage_x,price_chg_pct,pnl_eq_pct,duration_min,exit_label
GBPUSD,1,coc,2026-05-17 22:00:00,2026-05-18 08:15:00,18736.93703836561,GBPUSD,5379415.957705592,1.3319750000000001,1.33664,18840.425265261034,103.48822689542382,41,coc_tp,,1.335970925,pre_ret=-0.282% rank=1/6 (weakest) vol=0.00051 wt=0.24 notional_x=5.4x,round_1,2026-05-17 22:00:00,LONG,5.38,0.3502,1.8737,615,"COC take-profit hit (+0.30% price move) — banked, re-entering"
GBPUSD,1,coc,2026-05-18 08:30:00,2026-05-18 15:45:00,18724.472829255887,GBPUSD,5379415.957705592,1.337155,1.341835,18827.78487315365,103.31204389776505,29,coc_tp,,1.341166465,pre_ret=-0.282% rank=1/6 (weakest) vol=0.00051 wt=0.24 notional_x=5.4x [re-entry after TP],round_1,2026-05-17 22:00:00,LONG,5.38,0.35,1.8724,435,"COC take-profit hit (+0.30% price move) — banked, re-entering"
USDCHF,-1,coc,2026-05-17 22:00:00,2026-05-18 19:30:00,23664.845034310925,USDCHF,7855944.590280367,0.7868650000000001,0.784475,23861.408972023306,196.56393771238055,86,coc_tp,,0.7845044050000002,pre_ret=+0.220% rank=6/6 (strongest) vol=0.00035 wt=0.36 notional_x=7.9x,round_1,2026-05-17 22:00:00,SHORT,7.86,0.3037,2.3665,1290,"COC take-profit hit (+0.30% price move) — banked, re-entering"
EURUSD,1,coc,2026-05-17 22:00:00,2026-05-18 20:15:00,27042.73162817826,EURUSD,8764639.452014042,1.162315,1.165925,27221.836095870538,179.1044676922779,89,coc_tp,,1.165801945,pre_ret=-0.125% rank=2/6 (weakest) vol=0.00031 wt=0.40 notional_x=8.8x,round_1,2026-05-17 22:00:00,LONG,8.76,0.3106,2.7043,1335,"COC take-profit hit (+0.30% price move) — banked, re-entering"
USDCHF,-1,coc,2026-05-18 19:45:00,2026-05-18 22:00:00,2275.6489375002234,USDCHF,7855944.590280367,0.78454,0.784095,4455.981011389246,2180.332073889023,9,eod,,0.78218638,pre_ret=+0.220% rank=6/6 (strongest) vol=0.00035 wt=0.36 notional_x=7.9x [re-entry after TP],round_1,2026-05-17 22:00:00,SHORT,7.86,0.0567,0.2276,135,Held to round-end (EOD)
EURUSD,1,coc,2026-05-18 20:30:00,2026-05-18 22:00:00,1324.5657244899385,EURUSD,8764639.452014042,1.165775,1.165975,1503.6588453203576,179.09312083041925,6,eod,,1.169272325,pre_ret=-0.125% rank=2/6 (weakest) vol=0.00031 wt=0.40 notional_x=8.8x [re-entry after TP],round_1,2026-05-17 22:00:00,LONG,8.76,0.0172,0.1325,90,Held to round-end (EOD)
AUDUSD,-1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-11030.79934523835,AUDUSD,4922884.206866849,0.715775,0.71736,-10901.151154879599,129.64819035875152,96,eod,,0.713627675,pre_ret=+0.372% rank=6/6 (strongest) vol=0.00067 wt=0.22 notional_x=4.9x,round_1,2026-05-24 22:00:00,SHORT,4.92,-0.2214,-1.1031,1440,Held to round-end (EOD)
USDJPY,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,2399.6210301313176,USDJPY,10876399.562284783,158.88049999999998,158.91950000000003,2669.8026688576356,270.18163872631794,96,eod,,159.35714149999995,pre_ret=-0.149% rank=2/6 (weakest) vol=0.00030 wt=0.49 notional_x=10.9x,round_1,2026-05-24 22:00:00,LONG,10.88,0.0245,0.24,1440,Held to round-end (EOD)
USDCHF,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-210.7509483995088,USDCHF,6200716.230848368,0.7827550000000001,0.78277,118.82484744492724,329.575795844436,96,eod,,0.785103265,pre_ret=-0.205% rank=1/6 (weakest) vol=0.00053 wt=0.28 notional_x=6.2x,round_1,2026-05-24 22:00:00,LONG,6.2,0.0019,-0.0211,1440,Held to round-end (EOD)
USDCHF,1,coc,2026-05-31 22:00:00,2026-06-01 10:00:00,23416.82063579953,USDCHF,7439661.320957163,0.781695,0.7841750000000001,23603.016618980633,186.19598318110414,48,coc_tp,,0.784040085,pre_ret=-0.183% rank=1/6 (weakest) vol=0.00045 wt=0.34 notional_x=7.4x,round_1,2026-05-31 22:00:00,LONG,7.44,0.3173,2.3417,720,"COC take-profit hit (+0.30% price move) — banked, re-entering"
