symbol,side,sleeve,open_ts,close_ts,pnl,pair,notional,entry_price,exit_price,gross_pnl,cost,duration_bars,exit_reason,sl_price,tp_price,signal_info,round_kind,round_start,direction,leverage_x,price_chg_pct,pnl_eq_pct,duration_min,exit_label
AUDUSD,-1,coc,2026-05-11 22:00:00,2026-05-12 01:30:00,16174.884800502336,AUDUSD,5343738.017347513,0.725155,0.7229300000000001,16396.242304883228,221.3575043808919,14,coc_tp,,0.722979535,pre_ret=+0.177% rank=6/6 (strongest) vol=0.00029 wt=0.24 notional_x=5.3x,round_2,2026-05-11 22:00:00,SHORT,5.34,0.3068,1.6175,210,"COC take-profit hit (+0.30% price move) — banked, re-entering"
USDJPY,1,coc,2026-05-11 22:00:00,2026-05-12 05:15:00,30109.687162580965,USDJPY,9809003.342928257,157.1805,157.668,30422.915881279696,313.22871869873137,29,coc_tp,,157.65204149999997,pre_ret=+0.025% rank=2/6 (weakest) vol=0.00016 wt=0.45 notional_x=9.8x,round_2,2026-05-11 22:00:00,LONG,9.81,0.3102,3.011,435,"COC take-profit hit (+0.30% price move) — banked, re-entering"
AUDUSD,1,css,2026-05-12 01:30:00,2026-05-12 05:30:00,-342.91726028852565,AUDUSD/USDCAD,1049999.9999999998,0.7229300000000001,0.722875,-286.96796038034097,55.94929990818467,16,max_hold,,0.0,CSS z=-2.47 on AUDUSD/USDCAD,round_2,2026-05-11 22:00:00,LONG,1.05,-0.0076,-0.0343,240,Max hold reached — time stop triggered
USDCHF,1,coc,2026-05-11 22:00:00,2026-05-12 07:00:00,21607.990439299705,USDCHF,6847258.63972423,0.7778,0.7802850000000001,21876.366314881834,268.37587558212766,36,coc_tp,,0.7801334,pre_ret=-0.142% rank=1/6 (weakest) vol=0.00022 wt=0.31 notional_x=6.8x,round_2,2026-05-11 22:00:00,LONG,6.85,0.3195,2.1608,540,"COC take-profit hit (+0.30% price move) — banked, re-entering"
AUDUSD,-1,coc,2026-05-12 05:30:00,2026-05-12 22:00:00,-8862.927053489722,AUDUSD,5343738.017347513,0.722875,0.7240550000000001,-8722.961591520256,139.96546196946588,66,eod,,0.720706375,pre_ret=+0.177% rank=6/6 (strongest) vol=0.00029 wt=0.24 notional_x=5.3x [re-entry after TP],round_2,2026-05-11 22:00:00,SHORT,5.34,-0.1632,-0.8863,990,Held to round-end (EOD)
USDJPY,1,coc,2026-05-12 05:30:00,2026-05-12 22:00:00,-7856.3099568050975,USDJPY,9809003.342928257,157.737,157.6135,-7679.94771582942,176.36224097567722,66,eod,,158.210211,pre_ret=+0.025% rank=2/6 (weakest) vol=0.00016 wt=0.45 notional_x=9.8x [re-entry after TP],round_2,2026-05-11 22:00:00,LONG,9.81,-0.0783,-0.7856,990,Held to round-end (EOD)
USDCHF,1,coc,2026-05-12 07:15:00,2026-05-12 22:00:00,2662.901374172945,USDCHF,6847258.63972423,0.7802250000000001,0.78057,3027.721786285121,364.8204121121764,59,eod,,0.782565675,pre_ret=-0.142% rank=1/6 (weakest) vol=0.00022 wt=0.31 notional_x=6.8x [re-entry after TP],round_2,2026-05-11 22:00:00,LONG,6.85,0.0442,0.2663,885,Held to round-end (EOD)
AUDUSD,-1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,27784.602632872204,AUDUSD,5320066.947318651,0.725875,0.7220650000000001,27924.16747964016,139.56484676795571,96,finals_bank,,0.7236973750000001,pre_ret=+0.179% rank=6/6 (strongest) vol=0.00040 wt=0.24 notional_x=5.3x,finals,2026-05-13 22:00:00,SHORT,5.32,0.5249,2.7785,1440,Banked at Finals +24h profit-take
USDJPY,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,36017.799757690416,USDJPY,10129756.94905176,157.8245,158.38850000000002,36199.59460835005,181.79485065963905,96,finals_bank,,158.29797349999998,pre_ret=+0.026% rank=2/6 (weakest) vol=0.00021 wt=0.46 notional_x=10.1x,finals,2026-05-13 22:00:00,LONG,10.13,0.3574,3.6018,1440,Banked at Finals +24h profit-take
USDCHF,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,19524.14839302596,USDCHF,6550176.103629591,0.7815150000000001,0.7838750000000001,19780.062576618875,255.91418359291512,96,finals_bank,,0.783859545,pre_ret=-0.036% rank=1/6 (weakest) vol=0.00032 wt=0.30 notional_x=6.6x,finals,2026-05-13 22:00:00,LONG,6.55,0.302,1.9524,1440,Banked at Finals +24h profit-take
