symbol,side,sleeve,open_ts,close_ts,pnl,pair,notional,entry_price,exit_price,gross_pnl,cost,duration_bars,exit_reason,sl_price,signal_info,round_kind,round_start,direction,leverage_x,price_chg_pct,pnl_eq_pct,duration_min,exit_label
AUDUSD,-1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,7966.041969657624,AUDUSD,5343738.017347513,0.725155,0.7240550000000001,8106.007431627089,139.96546196946588,96,eod,,pre_ret=+0.177% rank=6/6 (strongest) vol=0.00029 wt=0.24 notional_x=5.3x,round_2,2026-05-11 22:00:00,SHORT,5.34,0.1517,0.7966,1440,Held to round-end (EOD)
USDJPY,1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,26845.427659730074,USDJPY,9809003.342928257,157.1805,157.6135,27021.789900705753,176.36224097567722,96,eod,,pre_ret=+0.025% rank=2/6 (weakest) vol=0.00016 wt=0.45 notional_x=9.8x,round_2,2026-05-11 22:00:00,LONG,9.81,0.2755,2.6845,1440,Held to round-end (EOD)
USDCHF,1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,24020.50541976671,USDCHF,6847258.63972423,0.7778,0.78057,24385.325831878887,364.8204121121764,96,eod,,pre_ret=-0.142% rank=1/6 (weakest) vol=0.00022 wt=0.31 notional_x=6.8x,round_2,2026-05-11 22:00:00,LONG,6.85,0.3561,2.4021,1440,Held to round-end (EOD)
AUDUSD,-1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,27784.602632872204,AUDUSD,5320066.947318651,0.725875,0.7220650000000001,27924.16747964016,139.56484676795571,96,finals_bank,,pre_ret=+0.179% rank=6/6 (strongest) vol=0.00040 wt=0.24 notional_x=5.3x,finals,2026-05-13 22:00:00,SHORT,5.32,0.5249,2.7785,1440,Banked at Finals +24h profit-take
USDJPY,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,36017.799757690416,USDJPY,10129756.94905176,157.8245,158.38850000000002,36199.59460835005,181.79485065963905,96,finals_bank,,pre_ret=+0.026% rank=2/6 (weakest) vol=0.00021 wt=0.46 notional_x=10.1x,finals,2026-05-13 22:00:00,LONG,10.13,0.3574,3.6018,1440,Banked at Finals +24h profit-take
USDCHF,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,19524.14839302596,USDCHF,6550176.103629591,0.7815150000000001,0.7838750000000001,19780.062576618875,255.91418359291512,96,finals_bank,,pre_ret=-0.036% rank=1/6 (weakest) vol=0.00032 wt=0.30 notional_x=6.6x,finals,2026-05-13 22:00:00,LONG,6.55,0.302,1.9524,1440,Banked at Finals +24h profit-take
USDCHF,-1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,25474.941086155188,USDCHF,7855944.590280367,0.7868650000000001,0.784095,27655.27316004421,2180.332073889023,96,eod,,pre_ret=+0.220% rank=6/6 (strongest) vol=0.00035 wt=0.36 notional_x=7.9x,round_1,2026-05-17 22:00:00,SHORT,7.86,0.352,2.5475,1440,Held to round-end (EOD)
EURUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,27419.776715978333,EURUSD,8764639.452014042,1.162315,1.165975,27598.869836808753,179.09312083041925,96,eod,,pre_ret=-0.125% rank=2/6 (weakest) vol=0.00031 wt=0.40 notional_x=8.8x,round_1,2026-05-17 22:00:00,LONG,8.76,0.3149,2.742,1440,Held to round-end (EOD)
GBPUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,45897.30117921811,GBPUSD,5379415.957705592,1.3319750000000001,1.3433650000000001,46000.52385237424,103.22267315612679,96,eod,,pre_ret=-0.282% rank=1/6 (weakest) vol=0.00051 wt=0.24 notional_x=5.4x,round_1,2026-05-17 22:00:00,LONG,5.38,0.8551,4.5897,1440,Held to round-end (EOD)
AUDUSD,1,css,2026-05-19 00:45:00,2026-05-19 04:45:00,-3574.8500902477367,AUDUSD/USDCAD,1049999.9999999998,0.7151100000000001,0.712945,-3518.749187775532,56.10090247220488,16,max_hold,,CSS z=-2.10 on AUDUSD/USDCAD,round_2,2026-05-18 22:00:00,LONG,1.05,-0.3028,-0.3575,240,Max hold reached — time stop triggered
GBPUSD,-1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,13853.959568315398,GBPUSD,5724188.279546214,1.3433650000000001,1.3397350000000001,15467.727277957369,1613.7677096419695,96,eod,,pre_ret=+0.526% rank=6/6 (strongest) vol=0.00063 wt=0.26 notional_x=5.7x,round_2,2026-05-18 22:00:00,SHORT,5.72,0.2702,1.3854,1440,Held to round-end (EOD)
USDJPY,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,15346.606708547128,USDJPY,9525144.185523732,158.80450000000002,159.06650000000002,15714.842945931912,368.23623738478443,96,eod,,pre_ret=-0.088% rank=2/6 (weakest) vol=0.00038 wt=0.43 notional_x=9.5x,round_2,2026-05-18 22:00:00,LONG,9.53,0.165,1.5347,1440,Held to round-end (EOD)
USDCHF,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,40726.73850952782,USDCHF,6750667.534930057,0.784095,0.788845,40895.134889162444,168.3963796346223,96,eod,,pre_ret=-0.147% rank=1/6 (weakest) vol=0.00053 wt=0.31 notional_x=6.8x,round_2,2026-05-18 22:00:00,LONG,6.75,0.6058,4.0727,1440,Held to round-end (EOD)
AUDUSD,-1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,126.80207359253103,AUDUSD,5621424.381562392,0.7151750000000001,0.7151400000000001,275.1072861253716,148.30521253284059,96,finals_bank,,pre_ret=+0.516% rank=6/6 (strongest) vol=0.00065 wt=0.26 notional_x=5.6x,finals,2026-05-20 22:00:00,SHORT,5.62,0.0049,0.0127,1440,Banked at Finals +24h profit-take
USDCAD,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,21988.57988675051,USDCAD,9363025.312555678,1.374495,1.37776,22241.0977453494,252.51785859888906,96,finals_bank,,pre_ret=-0.220% rank=2/6 (weakest) vol=0.00039 wt=0.43 notional_x=9.4x,finals,2026-05-20 22:00:00,LONG,9.36,0.2375,2.1989,1440,Banked at Finals +24h profit-take
USDCHF,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,-4812.212712156207,USDCHF,7015550.305881928,0.7869200000000001,0.786675,-2184.2243492877947,2627.9883628684124,96,finals_bank,,pre_ret=-0.382% rank=1/6 (weakest) vol=0.00052 wt=0.32 notional_x=7.0x,finals,2026-05-20 22:00:00,LONG,7.02,-0.0311,-0.4812,1440,Banked at Finals +24h profit-take
