round_kind,round_start,round_end,return_pct,sharpe_15m,max_dd_pct,trades,win_rate_pct,final_equity,max_gross_lev,risk_discipline,risk_discipline_clean,judge_score,leaderboard_proxy
round_2,2026-05-11 22:00:00,2026-05-12 22:00:00,4.306341794177548,0.15033023320805564,-2.5043699369139527,3,100.0,1043063.4179417755,22.0,100.0,True,94.0,32.63878376538719
round_3,2026-05-12 22:00:00,2026-05-13 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-13 22:00:00,2026-05-15 22:00:00,3.5400494249884673,0.09233975423371958,-1.004894387935773,3,100.0,1035400.4942498847,22.0,100.0,True,95.0,31.94428815098754
round_1,2026-05-17 22:00:00,2026-05-18 22:00:00,8.50085237679945,0.11779995581839578,-4.804139164234611,3,66.66666666666667,1085008.5237679945,22.0,100.0,True,88.0,35.229975789124424
round_2,2026-05-18 22:00:00,2026-05-19 22:00:00,3.5506691096509613,0.07680223674256459,-3.8408411983615,3,100.0,1035506.6910965096,22.0,100.0,True,89.0,30.749454034129677
round_3,2026-05-19 22:00:00,2026-05-20 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-20 22:00:00,2026-05-22 22:00:00,2.7819268158992827,0.036582418539337504,-5.504750118607793,3,100.0,1027819.2681589928,22.0,100.0,True,84.0,27.950757180305203
round_1,2026-05-24 22:00:00,2026-05-25 22:00:00,0.3169776399381874,0.019002834513901536,-1.7335529325654075,3,66.66666666666667,1003169.7763993818,22.0,100.0,True,35.0,25.911993133766998
round_2,2026-05-25 22:00:00,2026-05-26 22:00:00,4.45203379482455,0.21904856822439686,-0.8581697078549166,3,100.0,1044520.3379482456,22.0,100.0,True,100.0,32.98769820019895
round_3,2026-05-26 22:00:00,2026-05-27 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-27 22:00:00,2026-05-29 22:00:00,4.932434724524937,0.05601402277839025,-7.7635821492279655,3,100.0,1049324.3472452494,22.0,100.0,True,81.0,30.088868123702774
round_1,2026-05-31 22:00:00,2026-06-01 22:00:00,2.949323502144563,0.06824573524718727,-4.016066581627209,3,66.66666666666667,1029493.2350214456,22.0,100.0,True,86.0,29.874403226616472
round_2,2026-06-01 22:00:00,2026-06-02 22:00:00,0.4327338457786212,0.016778862370532242,-3.4373755407141826,3,33.333333333333336,1004327.3384577862,22.0,100.0,True,29.0,25.626250479464517
round_3,2026-06-02 22:00:00,2026-06-03 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-06-03 22:00:00,2026-06-05 22:00:00,1.2858467425930886,0.023328603066284957,-4.989059206352319,3,66.66666666666667,1012858.4674259309,22.0,100.0,True,54.0,26.31816399217656
round_1,2026-06-07 22:00:00,2026-06-08 22:00:00,1.2264090396173044,0.02447062435348886,-4.700352140526931,3,66.66666666666667,1012264.090396173,22.0,100.0,True,54.0,26.376964724327514
round_2,2026-06-08 22:00:00,2026-06-09 22:00:00,0.4028117573518175,0.02323201979380979,-1.3409691626062648,3,33.333333333333336,1004028.1175735181,22.0,100.0,True,35.0,26.24242384544582
round_3,2026-06-09 22:00:00,2026-06-10 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-06-10 22:00:00,2026-06-12 22:00:00,0.4511204746240116,0.10070152351403845,-1.3672185125875536,3,66.66666666666667,1004511.2047462402,22.0,100.0,True,36.0,30.110701555348676
