round_kind,round_start,round_end,return_pct,sharpe_15m,max_dd_pct,trades,win_rate_pct,final_equity,max_gross_lev,risk_discipline,risk_discipline_clean,judge_score,leaderboard_proxy
round_2,2026-05-11 22:00:00,2026-05-12 22:00:00,5.25534148372615,0.08989835545350564,-3.886453758455033,7,57.142857142857146,1052553.4148372614,22.0,100.0,True,89.0,32.59068874751533
round_3,2026-05-12 22:00:00,2026-05-13 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-13 22:00:00,2026-05-15 22:00:00,8.274893417671269,0.10592555327385987,-2.2952687436960773,3,100.0,1082748.9341767128,22.0,100.0,True,94.0,35.448135080815476
round_1,2026-05-17 22:00:00,2026-05-18 22:00:00,8.987504060647167,0.12937893023821626,-3.5553439640012674,6,100.0,1089875.0406064717,22.0,100.0,True,91.0,35.75795124785283
round_2,2026-05-18 22:00:00,2026-05-19 22:00:00,6.759299484769565,0.12730157888760713,-3.0566774049618717,6,66.66666666666667,1067592.9948476956,24.100000000000005,100.0,True,91.0,34.27300802859442
round_3,2026-05-19 22:00:00,2026-05-20 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-20 22:00:00,2026-05-22 22:00:00,1.6605579606862264,0.017600748173980673,-7.903165239310727,3,66.66666666666667,1016605.5796068622,22.0,100.0,True,65.0,25.856953195282784
round_1,2026-05-24 22:00:00,2026-05-25 22:00:00,-1.9261172362162071,-0.04745610422220341,-2.968295733502435,4,50.0,980738.827637838,22.0,100.0,True,16.0,20.83366836351312
round_2,2026-05-25 22:00:00,2026-05-26 22:00:00,1.6621910139213991,0.11422488906938148,-0.9816486619396936,3,66.66666666666667,1016621.9101392139,22.0,100.0,True,86.0,31.016286410454025
round_3,2026-05-26 22:00:00,2026-05-27 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-05-27 22:00:00,2026-05-29 22:00:00,4.946820670927798,0.0488821665121829,-8.836158894597467,3,100.0,1049468.206709278,22.0,100.0,True,81.0,29.581458961068982
round_1,2026-05-31 22:00:00,2026-06-01 22:00:00,2.298291417152565,0.05115732272713585,-4.670397001674598,6,33.333333333333336,1022982.9141715257,22.0,100.0,True,84.0,28.4661105781124
round_2,2026-06-01 22:00:00,2026-06-02 22:00:00,0.26693957748158414,0.009126340904642089,-5.566262980450976,4,25.0,1002669.3957748158,22.0,100.0,True,26.0,24.80823530240157
round_3,2026-06-02 22:00:00,2026-06-03 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-06-03 22:00:00,2026-06-05 22:00:00,3.4414565704577793,0.04541599225552811,-5.297475730440593,3,100.0,1034414.5657045778,22.0,100.0,True,84.0,28.885197852530762
round_1,2026-06-07 22:00:00,2026-06-08 22:00:00,0.47258872646775973,0.010808555926942085,-6.046374420846911,4,50.0,1004725.8872646777,22.0,100.0,True,23.0,24.9642837417475
round_2,2026-06-08 22:00:00,2026-06-09 22:00:00,0.16366238073903805,0.008751176161820235,-3.8769306755054522,5,60.0,1001636.6238073903,22.0,100.0,True,29.0,24.97058287328252
round_3,2026-06-09 22:00:00,2026-06-10 22:00:00,0.0,0.0,0.0,0,0.0,1000000.0,0.0,100.0,True,38.0,25.0
finals,2026-06-10 22:00:00,2026-06-12 22:00:00,0.5695849443502654,0.10742178306876714,-1.578157123581525,3,100.0,1005695.8494435026,22.0,100.0,True,50.0,30.161985892507957
