symbol,side,sleeve,open_ts,close_ts,pnl,pair,round_kind,round_start
USDJPY,1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,20069.97679806246,USDJPY,round_2,2026-05-11 22:00:00
USDCAD,1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,12459.131750654404,USDCAD,round_2,2026-05-11 22:00:00
EURJPY,-1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,10475.460082172349,EURJPY,round_2,2026-05-11 22:00:00
USDJPY,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,26074.715601258475,USDJPY,finals,2026-05-13 22:00:00
USDCAD,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,5955.0203872043285,USDCAD,finals,2026-05-13 22:00:00
EURJPY,-1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,3912.457580014712,EURJPY,finals,2026-05-13 22:00:00
GBPUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,62568.169350331555,GBPUSD,round_1,2026-05-17 22:00:00
EURUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,22942.00048783923,EURUSD,round_1,2026-05-17 22:00:00
USDJPY,-1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,-500.9209443291778,USDJPY,round_1,2026-05-17 22:00:00
USDJPY,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,11815.231385198982,USDJPY,round_2,2026-05-18 22:00:00
USDCAD,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,3805.5858340753016,USDCAD,round_2,2026-05-18 22:00:00
GBPUSD,-1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,17748.490884550985,GBPUSD,round_2,2026-05-18 22:00:00
USDCAD,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,17221.953423530438,USDCAD,finals,2026-05-20 22:00:00
USDJPY,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,7532.515342707937,USDJPY,finals,2026-05-20 22:00:00
GBPUSD,-1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,3679.409849093941,GBPUSD,finals,2026-05-20 22:00:00
USDJPY,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,1617.9270342963614,USDJPY,round_1,2026-05-24 22:00:00
EURJPY,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,4596.166838685286,EURJPY,round_1,2026-05-24 22:00:00
EURUSD,-1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-3174.9723646851994,EURUSD,round_1,2026-05-24 22:00:00
USDCAD,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,3388.5534087516635,USDCAD,round_2,2026-05-25 22:00:00
EURJPY,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,11264.37367895349,EURJPY,round_2,2026-05-25 22:00:00
GBPUSD,-1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,29998.233098158646,GBPUSD,round_2,2026-05-25 22:00:00
GBPUSD,1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,8213.731741801384,GBPUSD,finals,2026-05-27 22:00:00
EURUSD,1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,13595.980740693123,EURUSD,finals,2026-05-27 22:00:00
USDCAD,-1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,28002.647754116937,USDCAD,finals,2026-05-27 22:00:00
USDCAD,1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,22340.53348738538,USDCAD,round_1,2026-05-31 22:00:00
USDJPY,1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,11877.727019762046,USDJPY,round_1,2026-05-31 22:00:00
GBPUSD,-1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,-4726.193757199025,GBPUSD,round_1,2026-05-31 22:00:00
EURUSD,1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,-4310.307461889542,EURUSD,round_2,2026-06-01 22:00:00
EURJPY,1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,9024.762984704163,EURJPY,round_2,2026-06-01 22:00:00
USDCAD,-1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,-488.61333575948015,USDCAD,round_2,2026-06-01 22:00:00
GBPUSD,1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,6693.389275531653,GBPUSD,finals,2026-06-03 22:00:00
EURUSD,1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,10537.600529779482,EURUSD,finals,2026-06-03 22:00:00
USDCAD,-1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,-3884.7439704473813,USDCAD,finals,2026-06-03 22:00:00
GBPUSD,1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,6131.064639657318,GBPUSD,round_1,2026-06-07 22:00:00
EURUSD,1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,10642.041118179577,EURUSD,round_1,2026-06-07 22:00:00
USDCAD,-1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,-4508.7224445635275,USDCAD,round_1,2026-06-07 22:00:00
USDCAD,1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,-1930.7864235587192,USDCAD,round_2,2026-06-08 22:00:00
GBPUSD,1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,19429.15139611,GBPUSD,round_2,2026-06-08 22:00:00
EURJPY,-1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,-13426.299321356782,EURJPY,round_2,2026-06-08 22:00:00
GBPUSD,1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,2109.8760402412304,GBPUSD,finals,2026-06-10 22:00:00
EURUSD,1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,2965.789397366191,EURUSD,finals,2026-06-10 22:00:00
USDCAD,-1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,-506.5749073312471,USDCAD,finals,2026-06-10 22:00:00
