round_kind,round_start,round_end,return_pct,sharpe_15m,max_dd_pct,trades,win_rate_pct,final_equity,max_gross_lev,risk_discipline_clean
round_2,2026-05-11 22:00:00,2026-05-12 22:00:00,2.5579883285847815,0.11246369520737036,-2.0531034090644718,29,44.827586206896555,1025579.8832858478,21.0,True
round_3,2026-05-12 22:00:00,2026-05-13 22:00:00,-1.5912751078999032,-0.1245050919259169,-1.9087110940564256,40,42.5,984087.248921001,14.7,True
finals,2026-05-13 22:00:00,2026-05-15 22:00:00,2.896404074990566,0.09209764545324653,-0.8263738663784048,3,100.0,1028964.0407499057,18.0,True
round_1,2026-05-17 22:00:00,2026-05-18 22:00:00,7.492169765900147,0.12360758159002981,-3.742043126879546,25,60.0,1074921.6976590015,21.0,True
round_2,2026-05-18 22:00:00,2026-05-19 22:00:00,2.7406924141767153,0.07870386043025089,-2.9501232340270134,24,45.833333333333336,1027406.9241417672,21.0,True
round_3,2026-05-19 22:00:00,2026-05-20 22:00:00,-0.6790409570523681,-0.039144166046993965,-1.1411529495993666,35,34.285714285714285,993209.5904294763,14.7,True
finals,2026-05-20 22:00:00,2026-05-22 22:00:00,2.2761219402812394,0.03610219656237221,-4.557976509234141,3,100.0,1022761.2194028123,18.0,True
round_1,2026-05-24 22:00:00,2026-05-25 22:00:00,-0.1389579956958098,-0.00411178246737276,-1.6966773659084278,26,42.30769230769231,998610.4200430419,21.0,True
round_2,2026-05-25 22:00:00,2026-05-26 22:00:00,3.6662148196551447,0.20621329337227715,-0.8379747187204578,21,57.142857142857146,1036662.1481965515,21.0,True
round_3,2026-05-26 22:00:00,2026-05-27 22:00:00,-0.07450072433415889,-0.0012109566024811969,-1.6434870961080317,36,47.22222222222222,999254.9927566585,14.7,True
finals,2026-05-27 22:00:00,2026-05-29 22:00:00,4.035628410974956,0.05601759174565221,-6.351457920757408,3,100.0,1040356.2841097496,18.0,True
round_1,2026-05-31 22:00:00,2026-06-01 22:00:00,2.0106062568184146,0.06251517413985952,-2.911845140087599,27,40.74074074074074,1020106.0625681842,21.0,True
round_2,2026-06-01 22:00:00,2026-06-02 22:00:00,0.40042483155888764,0.018100297298990257,-2.9210880973524644,25,48.0,1004004.2483155889,21.0,True
round_3,2026-06-02 22:00:00,2026-06-03 22:00:00,-2.8047367822787717,-0.12728347415101832,-3.1559445283568466,33,36.36363636363637,971952.6321772123,14.7,True
finals,2026-06-03 22:00:00,2026-06-05 22:00:00,1.0520564257579634,0.022980879618878156,-4.124701692947408,3,66.66666666666667,1010520.5642575797,18.0,True
round_1,2026-06-07 22:00:00,2026-06-08 22:00:00,1.7660677772726618,0.04050513828386678,-3.46022262627389,18,55.55555555555556,1017660.6777727265,21.0,True
round_2,2026-06-08 22:00:00,2026-06-09 22:00:00,0.5542352694440034,0.0338082357996129,-1.2112252539023705,29,48.275862068965516,1005542.3526944399,21.0,True
round_3,2026-06-09 22:00:00,2026-06-10 22:00:00,-0.05664560882043812,-0.0005426410294442515,-2.4752557294343336,33,39.39393939393939,999433.5439117956,14.7,True
finals,2026-06-10 22:00:00,2026-06-12 22:00:00,0.3690985701469307,0.10022309105207508,-1.1198264936614466,3,66.66666666666667,1003690.9857014692,18.0,True
