symbol,side,sleeve,open_ts,close_ts,pnl,pair,round_kind,round_start
USDJPY,1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,16420.89010750565,USDJPY,round_2,2026-05-11 22:00:00
USDCAD,1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,10193.83506871724,USDCAD,round_2,2026-05-11 22:00:00
EURJPY,-1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,8570.830976322832,EURJPY,round_2,2026-05-11 22:00:00
EURGBP,-1,css,2026-05-13 00:00:00,2026-05-13 02:30:00,617.6225785175046,EURGBP/EURCHF,round_3,2026-05-12 22:00:00
USDCAD,1,coc,2026-05-12 22:00:00,2026-05-13 22:00:00,1485.8322077418566,USDCAD,round_3,2026-05-12 22:00:00
EURUSD,1,coc,2026-05-12 22:00:00,2026-05-13 22:00:00,-4199.641968141396,EURUSD,round_3,2026-05-12 22:00:00
USDJPY,-1,coc,2026-05-12 22:00:00,2026-05-13 22:00:00,-3256.051357774715,USDJPY,round_3,2026-05-12 22:00:00
USDJPY,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,21333.85821921148,USDJPY,finals,2026-05-13 22:00:00
USDCAD,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,4872.289407712633,USDCAD,finals,2026-05-13 22:00:00
EURJPY,-1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,3201.101656375674,EURJPY,finals,2026-05-13 22:00:00
GBPUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,51192.13855936218,GBPUSD,round_1,2026-05-17 22:00:00
EURUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,18770.72767186846,EURUSD,round_1,2026-05-17 22:00:00
USDJPY,-1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,-409.84440899660007,USDJPY,round_1,2026-05-17 22:00:00
USDJPY,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,9667.007496980987,USDJPY,round_2,2026-05-18 22:00:00
USDCAD,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,3113.6611369707016,USDCAD,round_2,2026-05-18 22:00:00
GBPUSD,-1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,14521.492541905354,GBPUSD,round_2,2026-05-18 22:00:00
EURGBP,-1,css,2026-05-19 23:45:00,2026-05-20 03:45:00,3326.5438621295725,EURGBP/EURCHF,round_3,2026-05-19 22:00:00
EURUSD,1,coc,2026-05-19 22:00:00,2026-05-20 22:00:00,4272.40347812069,EURUSD,round_3,2026-05-19 22:00:00
EURJPY,1,coc,2026-05-19 22:00:00,2026-05-20 22:00:00,832.8629676280364,EURJPY,round_3,2026-05-19 22:00:00
USDJPY,-1,coc,2026-05-19 22:00:00,2026-05-20 22:00:00,3315.4940020298677,USDJPY,round_3,2026-05-19 22:00:00
USDCAD,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,14090.689164706724,USDCAD,finals,2026-05-20 22:00:00
USDJPY,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,6162.967098579222,USDJPY,finals,2026-05-20 22:00:00
GBPUSD,-1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,3010.42624016777,GBPUSD,finals,2026-05-20 22:00:00
USDJPY,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,1323.758482606114,USDJPY,round_1,2026-05-24 22:00:00
EURJPY,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,3760.500140742507,EURJPY,round_1,2026-05-24 22:00:00
EURUSD,-1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-2597.704662015163,EURUSD,round_1,2026-05-24 22:00:00
USDCAD,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,2772.4527889786336,USDCAD,round_2,2026-05-25 22:00:00
EURJPY,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,9216.305737325583,EURJPY,round_2,2026-05-25 22:00:00
GBPUSD,-1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,24544.008898493437,GBPUSD,round_2,2026-05-25 22:00:00
EURGBP,-1,css,2026-05-27 05:45:00,2026-05-27 09:45:00,444.4900477399444,EURGBP/EURCHF,round_3,2026-05-26 22:00:00
GBPUSD,1,coc,2026-05-26 22:00:00,2026-05-27 22:00:00,-3365.3540730794784,GBPUSD,round_3,2026-05-26 22:00:00
EURUSD,1,coc,2026-05-26 22:00:00,2026-05-27 22:00:00,-441.1226772382706,EURUSD,round_3,2026-05-26 22:00:00
