symbol,side,sleeve,open_ts,close_ts,pnl,pair,round_kind,round_start
AUDUSD,-1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,6517.670702447147,AUDUSD,round_2,2026-05-11 22:00:00
USDJPY,1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,21964.44081250643,USDJPY,round_2,2026-05-11 22:00:00
USDCHF,1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,19653.140797990945,USDCHF,round_2,2026-05-11 22:00:00
AUDUSD,-1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,22732.856699622716,AUDUSD,finals,2026-05-13 22:00:00
USDJPY,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,29469.108892655797,USDJPY,finals,2026-05-13 22:00:00
USDCHF,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,15974.303230657604,USDCHF,finals,2026-05-13 22:00:00
USDCHF,-1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,20843.133615945153,USDCHF,round_1,2026-05-17 22:00:00
EURUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,22434.362767618637,EURUSD,round_1,2026-05-17 22:00:00
GBPUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,37552.337328451176,GBPUSD,round_1,2026-05-17 22:00:00
AUDUSD,1,css,2026-05-19 00:30:00,2026-05-19 04:30:00,-4327.532156252679,AUDUSD/USDCAD,round_2,2026-05-18 22:00:00
GBPUSD,-1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,11335.057828621688,GBPUSD,round_2,2026-05-18 22:00:00
USDJPY,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,12556.314579720378,USDJPY,round_2,2026-05-18 22:00:00
USDCHF,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,33321.876962340946,USDCHF,round_2,2026-05-18 22:00:00
AUDUSD,-1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,103.74715112116176,AUDUSD,finals,2026-05-20 22:00:00
USDCAD,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,17990.65627097769,USDCAD,finals,2026-05-20 22:00:00
USDCHF,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,-3937.264946309624,USDCHF,finals,2026-05-20 22:00:00
AUDUSD,-1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-9025.199464285923,AUDUSD,round_1,2026-05-24 22:00:00
USDJPY,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,1963.3262973801693,USDJPY,round_1,2026-05-24 22:00:00
USDCHF,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-172.43259414505258,USDCHF,round_1,2026-05-24 22:00:00
USDCHF,-1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,-11310.723029400737,USDCHF,round_2,2026-05-25 22:00:00
USDJPY,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,22595.36358915327,USDJPY,round_2,2026-05-25 22:00:00
USDCAD,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,2383.23635992143,USDCAD,round_2,2026-05-25 22:00:00
USDCHF,-1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,22484.063083927016,USDCHF,finals,2026-05-27 22:00:00
EURUSD,1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,11845.257503260867,EURUSD,finals,2026-05-27 22:00:00
GBPUSD,1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,6611.063615504255,GBPUSD,finals,2026-05-27 22:00:00
GBPUSD,-1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,-3513.3082081248554,GBPUSD,round_1,2026-05-31 22:00:00
USDCAD,1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,19684.939154324245,USDCAD,round_1,2026-05-31 22:00:00
USDCHF,1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,38471.05161173523,USDCHF,round_1,2026-05-31 22:00:00
USDCHF,-1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,-5151.114005310103,USDCHF,round_2,2026-06-01 22:00:00
EURUSD,1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,-4642.865641701282,EURUSD,round_2,2026-06-01 22:00:00
AUDUSD,1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,10212.286983428947,AUDUSD,round_2,2026-06-01 22:00:00
USDCHF,-1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,16933.02904286174,USDCHF,finals,2026-06-03 22:00:00
GBPUSD,1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,6129.05850914663,GBPUSD,finals,2026-06-03 22:00:00
AUDUSD,1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,5583.951056403975,AUDUSD,finals,2026-06-03 22:00:00
USDCHF,-1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,-7853.952472426211,USDCHF,round_1,2026-06-07 22:00:00
GBPUSD,1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,6242.800830222918,GBPUSD,round_1,2026-06-07 22:00:00
AUDUSD,1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,3726.1050783177616,AUDUSD,round_1,2026-06-07 22:00:00
EURUSD,-1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,-3762.6855818881027,EURUSD,round_2,2026-06-08 22:00:00
USDCHF,1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,5169.284432060953,USDCHF,round_2,2026-06-08 22:00:00
AUDUSD,1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,-12554.075961320747,AUDUSD,round_2,2026-06-08 22:00:00
USDCHF,-1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,414.7642314622493,USDCHF,finals,2026-06-10 22:00:00
EURUSD,1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,2621.872543367778,EURUSD,finals,2026-06-10 22:00:00
GBPUSD,1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,1700.6674696532777,GBPUSD,finals,2026-06-10 22:00:00
