symbol,side,sleeve,open_ts,close_ts,pnl,pair,round_kind,round_start
AUDUSD,-1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,7254.706882153092,AUDUSD,round_2,2026-05-11 22:00:00
EURCHF,1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,-6324.533676314608,EURCHF,round_2,2026-05-11 22:00:00
USDCHF,1,coc,2026-05-11 22:00:00,2026-05-12 22:00:00,21875.572165616755,USDCHF,round_2,2026-05-11 22:00:00
AUDUSD,-1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,29403.523495382215,AUDUSD,finals,2026-05-13 22:00:00
EURGBP,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,53010.68705318694,EURGBP,finals,2026-05-13 22:00:00
USDCHF,1,coc,2026-05-13 22:00:00,2026-05-14 22:00:00,20661.75872972429,USDCHF,finals,2026-05-13 22:00:00
USDCHF,-1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,25474.941086155188,USDCHF,round_1,2026-05-17 22:00:00
EURUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,27419.776715978333,EURUSD,round_1,2026-05-17 22:00:00
GBPUSD,1,coc,2026-05-17 22:00:00,2026-05-18 22:00:00,45897.30117921811,GBPUSD,round_1,2026-05-17 22:00:00
AUDUSD,1,css,2026-05-19 00:30:00,2026-05-19 04:30:00,-4327.532156252679,AUDUSD/USDCAD,round_2,2026-05-18 22:00:00
GBPUSD,-1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,13671.674449959231,GBPUSD,round_2,2026-05-18 22:00:00
USDCHF,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,40190.87161076419,USDCHF,round_2,2026-05-18 22:00:00
EURGBP,1,coc,2026-05-18 22:00:00,2026-05-19 22:00:00,-21066.89584850538,EURGBP,round_2,2026-05-18 22:00:00
AUDUSD,-1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,126.80207359253103,AUDUSD,finals,2026-05-20 22:00:00
USDCAD,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,21988.57988675051,USDCAD,finals,2026-05-20 22:00:00
USDCHF,1,coc,2026-05-20 22:00:00,2026-05-21 22:00:00,-4812.212712156207,USDCHF,finals,2026-05-20 22:00:00
AUDUSD,-1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-11030.79934523835,AUDUSD,round_1,2026-05-24 22:00:00
USDJPY,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,2399.6210301313176,USDJPY,round_1,2026-05-24 22:00:00
USDCHF,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-210.7509483995088,USDCHF,round_1,2026-05-24 22:00:00
USDCHF,-1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,-15630.542231528825,USDCHF,round_2,2026-05-25 22:00:00
USDCAD,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,3293.4478613468973,USDCAD,round_2,2026-05-25 22:00:00
EURGBP,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,35422.29121412428,EURGBP,round_2,2026-05-25 22:00:00
USDCHF,-1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,27480.521547021912,USDCHF,finals,2026-05-27 22:00:00
EURUSD,1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,14477.536948429948,EURUSD,finals,2026-05-27 22:00:00
GBPUSD,1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,8080.188863394088,GBPUSD,finals,2026-05-27 22:00:00
GBPUSD,-1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,-3564.2846546555475,GBPUSD,round_1,2026-05-31 22:00:00
EURGBP,1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,-24242.14118127371,EURGBP,round_1,2026-05-31 22:00:00
USDCHF,1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,39029.248441984804,USDCHF,round_1,2026-05-31 22:00:00
USDCHF,-1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,-6295.8060064901265,USDCHF,round_2,2026-06-01 22:00:00
EURUSD,1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,-5674.613562079344,EURUSD,round_2,2026-06-01 22:00:00
AUDUSD,1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,12481.684090857605,AUDUSD,round_2,2026-06-01 22:00:00
USDCHF,-1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,20695.924385719904,USDCHF,finals,2026-06-03 22:00:00
GBPUSD,1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,7491.071511179213,GBPUSD,finals,2026-06-03 22:00:00
AUDUSD,1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,6824.82906893819,AUDUSD,finals,2026-06-03 22:00:00
USDCHF,-1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,-9599.27524407648,USDCHF,round_1,2026-06-07 22:00:00
