,equity
2026-06-23 22:00:05+00:00,1000005.5
2026-06-23 22:00:07+00:00,1000004.3
2026-06-23 22:00:09+00:00,1000009.8
2026-06-23 22:00:11+00:00,1000008.6000000001
2026-06-23 22:00:14+00:00,1000014.1000000001
2026-06-23 22:00:17+00:00,1000019.6000000001
2026-06-23 22:00:22+00:00,1000025.1000000001
2026-06-23 22:00:24+00:00,1000030.6000000001
2026-06-23 22:00:29+00:00,1000032.0700000001
2026-06-23 22:00:31+00:00,1000037.5700000001
2026-06-23 22:00:36+00:00,1000037.5700000001
2026-06-23 22:00:41+00:00,1000037.5700000001
2026-06-23 22:00:46+00:00,1000037.56
2026-06-23 22:00:51+00:00,1000037.55
2026-06-23 22:00:56+00:00,1000039.2200000001
2026-06-23 22:01:01+00:00,1000040.9400000001
2026-06-23 22:01:06+00:00,1000040.28
2026-06-23 22:01:11+00:00,1000040.27
2026-06-23 22:01:16+00:00,1000040.26
2026-06-23 22:01:21+00:00,1000040.26
2026-06-23 22:01:26+00:00,1000040.27
2026-06-23 22:01:31+00:00,1000040.27
2026-06-23 22:01:36+00:00,1000040.26
2026-06-23 22:01:38+00:00,1000045.76
2026-06-23 22:01:43+00:00,1000045.75
2026-06-23 22:01:48+00:00,1000045.75
2026-06-23 22:01:53+00:00,1000045.74
2026-06-23 22:01:58+00:00,1000045.64
2026-06-23 22:02:01+00:00,1000051.14
2026-06-23 22:02:04+00:00,1000049.9400000001
2026-06-23 22:02:09+00:00,1000051.93
2026-06-23 22:02:14+00:00,1000051.93
2026-06-23 22:02:16+00:00,1000050.7300000001
2026-06-23 22:02:21+00:00,1000052.7300000001
2026-06-23 22:02:26+00:00,1000052.7400000001
2026-06-23 22:02:31+00:00,1000052.7300000001
2026-06-23 22:02:36+00:00,1000052.7200000001
2026-06-23 22:02:39+00:00,1000051.5200000001
2026-06-23 22:02:44+00:00,1000055.3000000002
2026-06-23 22:02:49+00:00,1000055.2900000002
2026-06-23 22:02:54+00:00,1000060.0800000002
2026-06-23 22:02:59+00:00,1000060.0700000002
2026-06-23 22:03:04+00:00,1000060.9200000002
2026-06-23 22:03:08+00:00,1000059.7200000002
2026-06-23 22:03:11+00:00,1000065.2200000002
2026-06-23 22:03:13+00:00,1000064.0200000003
2026-06-23 22:03:18+00:00,1000064.0300000003
2026-06-23 22:03:23+00:00,1000064.0300000003
2026-06-23 22:03:26+00:00,1000069.5300000003
2026-06-23 22:03:28+00:00,1000068.3300000003
2026-06-23 22:03:33+00:00,1000068.3300000003
2026-06-23 22:03:38+00:00,1000073.8300000003
2026-06-23 22:03:43+00:00,1000073.8300000003
2026-06-23 22:03:48+00:00,1000073.8400000003
2026-06-23 22:03:53+00:00,1000077.1700000003
2026-06-23 22:03:57+00:00,1000075.9700000003
2026-06-23 22:04:02+00:00,1000077.0200000004
2026-06-23 22:04:07+00:00,1000079.8200000004
2026-06-23 22:04:09+00:00,1000078.6200000005
2026-06-23 22:04:14+00:00,1000080.6000000004
2026-06-23 22:04:19+00:00,1000080.6100000005
2026-06-23 22:04:24+00:00,1000080.6100000005
2026-06-23 22:04:29+00:00,1000080.7700000005
2026-06-23 22:04:34+00:00,1000080.7700000005
2026-06-23 22:04:39+00:00,1000080.7800000005
2026-06-23 22:04:44+00:00,1000086.2800000005
2026-06-23 22:04:49+00:00,1000086.2800000005
2026-06-23 22:04:54+00:00,1000086.2900000005
2026-06-23 22:04:59+00:00,1000088.9000000005
2026-06-23 22:05:04+00:00,1000088.9000000005
2026-06-23 22:05:09+00:00,1000088.9000000005
2026-06-23 22:05:14+00:00,1000088.9000000005
2026-06-23 22:05:19+00:00,1000088.8900000005
2026-06-23 22:05:24+00:00,1000088.8900000005
2026-06-23 22:05:29+00:00,1000088.8900000005
2026-06-23 22:05:34+00:00,1000088.9000000005
2026-06-23 22:05:39+00:00,1000088.9000000005
