traded_at,median,max,count
2026-06-22 09:00:00+00:00,3.0,12.0,5
2026-06-22 10:00:00+00:00,,,0
2026-06-22 11:00:00+00:00,,,0
2026-06-22 12:00:00+00:00,,,0
2026-06-22 13:00:00+00:00,1.42,1.52,2
2026-06-22 14:00:00+00:00,10.0,20.0,6
2026-06-22 15:00:00+00:00,1.73,1.73,1
2026-06-22 16:00:00+00:00,,,0
2026-06-22 17:00:00+00:00,,,0
2026-06-22 18:00:00+00:00,,,0
2026-06-22 19:00:00+00:00,,,0
2026-06-22 20:00:00+00:00,,,0
2026-06-22 21:00:00+00:00,,,0
2026-06-22 22:00:00+00:00,,,0
2026-06-22 23:00:00+00:00,,,0
2026-06-23 00:00:00+00:00,,,0
2026-06-23 01:00:00+00:00,,,0
2026-06-23 02:00:00+00:00,,,0
2026-06-23 03:00:00+00:00,,,0
2026-06-23 04:00:00+00:00,,,0
2026-06-23 05:00:00+00:00,,,0
2026-06-23 06:00:00+00:00,,,0
2026-06-23 07:00:00+00:00,,,0
2026-06-23 08:00:00+00:00,,,0
2026-06-23 09:00:00+00:00,,,0
2026-06-23 10:00:00+00:00,,,0
2026-06-23 11:00:00+00:00,,,0
2026-06-23 12:00:00+00:00,,,0
2026-06-23 13:00:00+00:00,,,0
2026-06-23 14:00:00+00:00,,,0
2026-06-23 15:00:00+00:00,,,0
2026-06-23 16:00:00+00:00,,,0
2026-06-23 17:00:00+00:00,,,0
2026-06-23 18:00:00+00:00,0.01,0.1,96
2026-06-23 19:00:00+00:00,0.5,1.0,974
2026-06-23 20:00:00+00:00,,,0
2026-06-23 21:00:00+00:00,,,0
2026-06-23 22:00:00+00:00,1.0,1.0,715
2026-06-23 23:00:00+00:00,1.0,1.0,572
2026-06-24 00:00:00+00:00,1.0,1.0,940
2026-06-24 01:00:00+00:00,1.0,2.0,892
2026-06-24 02:00:00+00:00,1.0,1.0,941
2026-06-24 03:00:00+00:00,1.0,1.0,760
2026-06-24 04:00:00+00:00,1.0,1.0,836
2026-06-24 05:00:00+00:00,1.0,1.0,880
2026-06-24 06:00:00+00:00,1.0,1.0,704
2026-06-24 07:00:00+00:00,1.0,1.0,885
2026-06-24 08:00:00+00:00,1.0,2.0,815
2026-06-24 09:00:00+00:00,1.0,2.0,831
2026-06-24 10:00:00+00:00,1.0,1.0,937
2026-06-24 11:00:00+00:00,1.0,1.0,129
