open_ts,close_ts,hold_seconds,open_price,close_price,qty,direction,realized_pnl,implied_pnl
2026-06-22 09:01:31.492000+00:00,2026-06-22 13:38:01.675000+00:00,16590.183,64132.956,65296.241,3.0,short,-703.9,-3489.8550000000105
2026-06-22 13:47:43.827000+00:00,2026-06-22 15:32:04.441000+00:00,6260.614,65393.9,64995.101,1.32,long,266.38,-526.4146799999988
2026-06-23 19:13:07.914000+00:00,2026-06-23 19:13:08.963000+00:00,1.049,62321.133,62320.525,1.0,short,0.61,0.6080000000001746
2026-06-23 19:13:09.423000+00:00,2026-06-23 19:13:09.849000+00:00,0.426,62320.773,62323.086,1.0,short,-2.32,-2.313000000001921
2026-06-23 19:13:10.882000+00:00,2026-06-23 19:13:12.107000+00:00,1.225,62320.819,62324.554,1.0,short,-3.75,-3.734999999993306
2026-06-23 19:13:12.352000+00:00,2026-06-23 19:13:13.222000+00:00,0.87,62324.63,62321.991,1.0,long,-2.64,-2.638999999995576
2026-06-23 19:13:13.862000+00:00,2026-06-23 19:13:14.892000+00:00,1.03,62324.422,62321.997,1.0,long,-2.43,-2.4249999999956344
2026-06-23 19:13:15.732000+00:00,2026-06-23 19:13:16.773000+00:00,1.041,62324.197,62321.98,1.0,long,-2.22,-2.216999999996915
2026-06-23 19:13:17.623000+00:00,2026-06-23 19:13:54.022000+00:00,36.399,62324.352,62296.368,1.0,long,0.25,-27.98399999999674
2026-06-23 19:13:55.661000+00:00,2026-06-23 19:13:58.154000+00:00,2.493,62299.055,62297.069,1.0,short,5.6,1.9859999999971478
2026-06-23 19:14:04.683000+00:00,2026-06-23 19:14:04.914000+00:00,0.231,62300.779,62301.653,1.0,short,-0.87,-0.8739999999961583
2026-06-23 19:14:05.763000+00:00,2026-06-23 19:14:06.865000+00:00,1.102,62301.628,62304.179,1.0,short,-2.55,-2.550999999999476
2026-06-23 19:14:08.295000+00:00,2026-06-23 19:14:12.243000+00:00,3.948,62314.327,62318.212,1.0,short,-3.13,-3.8850000000020373
2026-06-23 19:14:14.495000+00:00,2026-06-23 19:14:18.765000+00:00,4.27,62310.063,62309.954,1.0,long,3.66,-0.10900000000401633
2026-06-23 19:14:20.425000+00:00,2026-06-23 19:14:23.938000+00:00,3.513,62310.473,62320.264,1.0,short,-3.04,-9.791000000004715
2026-06-23 19:14:24.184000+00:00,2026-06-23 19:14:24.435000+00:00,0.251,62317.262,62320.607,1.0,short,-3.35,-3.345000000001164
2026-06-23 19:14:25.475000+00:00,2026-06-23 19:14:26.515000+00:00,1.04,62317.262,62321.18,1.0,short,-3.92,-3.9179999999978463
2026-06-23 19:14:29.378000+00:00,2026-06-23 19:14:31.705000+00:00,2.327,62320.078,62316.085,1.0,short,5.5,3.993000000002212
2026-06-23 19:14:32.755000+00:00,2026-06-23 19:14:34.215000+00:00,1.46,62318.595,62320.714,1.0,long,2.18,2.1189999999987776
2026-06-23 19:14:34.425000+00:00,2026-06-23 19:14:35.474000+00:00,1.049,62319.414,62321.537,1.0,long,2.12,2.1229999999995925
2026-06-23 19:14:37.926000+00:00,2026-06-23 19:14:38.959000+00:00,1.033,62320.77,62319.726,1.0,long,-2.52,-1.043999999994412
2026-06-23 19:14:39.998000+00:00,2026-06-23 19:14:42.925000+00:00,2.927,62320.409,62327.506,1.0,long,5.16,7.097000000001572
2026-06-23 19:14:45.795000+00:00,2026-06-23 19:15:06.582000+00:00,20.787,62322.46,62306.902,1.0,long,4.17,-15.557999999997264
2026-06-23 19:15:07.642000+00:00,2026-06-23 19:39:32.972000+00:00,1465.33,62306.719,62299.614,1.0,short,0.33,7.1049999999959255
2026-06-23 19:39:33.793000+00:00,2026-06-23 19:40:31.385000+00:00,57.592,62286.957,62316.35,1.0,long,6.2,29.39299999999639
2026-06-23 19:40:33.160000+00:00,2026-06-23 19:40:35.805000+00:00,2.645,62321.519,62318.386,1.0,short,-3.56,3.13300000000163
2026-06-23 19:40:36.874000+00:00,2026-06-23 19:40:39.654000+00:00,2.7800000000000002,62316.674,62310.736,1.0,short,3.27,5.938000000001921
2026-06-23 19:40:43.205000+00:00,2026-06-23 19:40:59.065000+00:00,15.86,62307.62,62299.326,1.0,long,-35.8,-8.294000000001688
2026-06-23 19:41:01.135000+00:00,2026-06-23 19:41:25.595000+00:00,24.46,62290.664,62294.967,1.0,long,-2.64,4.302999999999884
2026-06-23 19:41:42.464000+00:00,2026-06-23 19:41:45.155000+00:00,2.691,62295.294,62290.02,1.0,short,0.31,5.274000000004889
2026-06-23 19:41:46.214000+00:00,2026-06-23 19:42:01.134000+00:00,14.92,62293.797,62278.393,1.0,short,12.76,15.40400000000227
